===== BUILD HG 3m START 2026-05-04T10:12:51.7319492-05:00 =====
Building futures_contract_3m_candles from futures_contract_1m_candles: symbols=61 root=HG symbol=ALL start=BEGINNING end=OPEN rebuild=false
[49/61] 15m HGV3 affected=120 deleted=0
[50/61] 15m HGV4 affected=227 deleted=0
[51/61] 15m HGV5 affected=157 deleted=0
[52/61] 15m HGX1 affected=127 deleted=0
[53/61] 15m HGX2 affected=97 deleted=0
[54/61] 15m HGX3 affected=121 deleted=0
[55/61] 15m HGX4 affected=218 deleted=0
[56/61] 15m HGX5 affected=104 deleted=0
[57/61] 15m HGZ1 affected=523 deleted=0
[58/61] 15m HGZ2 affected=497 deleted=0
[59/61] 15m HGZ3 affected=392 deleted=0
[60/61] 15m HGZ4 affected=405 deleted=0
[61/61] 15m HGZ5 affected=418 deleted=0
Done. table=futures_contract_15m_candles timeframe=15m symbols=61 affected=16156 deleted=0
Building futures_contract_30m_candles from futures_contract_1m_candles: timeframe=30m minutes=30 symbols=61 root=HG symbol=ALL start=BEGINNING end=OPEN rebuild=false
[1/61] 30m HGF2 affected=150 deleted=0
[2/61] 30m HGF3 affected=114 deleted=0
[3/61] 30m HGF4 affected=117 deleted=0
[4/61] 30m HGF5 affected=125 deleted=0
[5/61] 30m HGF6 affected=128 deleted=0
[6/61] 30m HGG2 affected=113 deleted=0
[7/61] 30m HGG3 affected=89 deleted=0
[8/61] 30m HGG4 affected=92 deleted=0
[9/61] 30m HGG5 affected=76 deleted=0
[10/61] 30m HGG6 affected=134 deleted=0
[11/61] 30m HGH2 affected=411 deleted=0
[12/61] 30m HGH3 affected=369 deleted=0
[13/61] 30m HGH4 affected=359 deleted=0
[14/61] 30m HGH5 affected=376 deleted=0
[15/61] 30m HGH6 affected=323 deleted=0
[16/61] 30m HGJ1 affected=8 deleted=0
[17/61] 30m HGJ2 affected=114 deleted=0
[18/61] 30m HGJ3 affected=108 deleted=0
[19/61] 30m HGJ4 affected=91 deleted=0
[20/61] 30m HGJ5 affected=146 deleted=0
[21/61] 30m HGJ6 affected=78 deleted=0
[22/61] 30m HGK1 affected=407 deleted=0
[23/61] 30m HGK2 affected=343 deleted=0
[24/61] 30m HGK3 affected=325 deleted=0
[25/61] 30m HGK4 affected=380 deleted=0
[26/61] 30m HGK5 affected=348 deleted=0
[27/61] 30m HGM1 affected=129 deleted=0
[28/61] 30m HGM2 affected=135 deleted=0
[29/61] 30m HGM3 affected=121 deleted=0
