===== BUILD ZM 3m START 2026-05-04T20:09:34.9541830-05:00 =====
Building futures_contract_3m_candles from futures_contract_1m_candles: symbols=41 root=ZM symbol=ALL start=BEGINNING end=OPEN rebuild=false
[39/41] 1d ZMZ3 affected=42 deleted=0
[40/41] 1d ZMZ4 affected=43 deleted=0
[41/41] 1d ZMZ5 affected=41 deleted=0
Done. table=futures_contract_1d_candles timeframe=1d symbols=41 affected=1227 deleted=0
===== BUILD ZM TIMEFRAMES DONE 2026-05-04T20:10:34.0995766-05:00 =====
===== BUILD ZL 3m START 2026-05-04T20:10:34.1005836-05:00 =====
Building futures_contract_3m_candles from futures_contract_1m_candles: symbols=41 root=ZL symbol=ALL start=BEGINNING end=OPEN rebuild=false
[1/41] ZLF2 affected=3013 deleted=0
[2/41] ZLF3 affected=2621 deleted=0
[3/41] ZLF4 affected=2285 deleted=0
[4/41] ZLF5 affected=2760 deleted=0
[5/41] ZLF6 affected=2833 deleted=0
[6/41] ZLH2 affected=9460 deleted=0
[7/41] ZLH3 affected=9345 deleted=0
[8/41] ZLH4 affected=10061 deleted=0
[9/41] ZLH5 affected=9852 deleted=0
[10/41] ZLH6 affected=9608 deleted=0
[11/41] ZLK1 affected=1078 deleted=0
[12/41] ZLK2 affected=10344 deleted=0
[13/41] ZLK3 affected=9892 deleted=0
[14/41] ZLK4 affected=10136 deleted=0
[15/41] ZLK5 affected=9920 deleted=0
[16/41] ZLK6 affected=9647 deleted=0
[17/41] ZLN1 affected=10486 deleted=0
[18/41] ZLN2 affected=10084 deleted=0
[19/41] ZLN3 affected=10724 deleted=0
[20/41] ZLN4 affected=10173 deleted=0
[21/41] ZLN5 affected=10116 deleted=0
[22/41] ZLQ1 affected=2699 deleted=0
[23/41] ZLQ2 affected=2366 deleted=0
[24/41] ZLQ3 affected=2707 deleted=0
[25/41] ZLQ4 affected=3264 deleted=0
[26/41] ZLQ5 affected=3184 deleted=0
[27/41] ZLU1 affected=2490 deleted=0
[28/41] ZLU2 affected=2991 deleted=0
[29/41] ZLU3 affected=2778 deleted=0
[30/41] ZLU4 affected=2864 deleted=0
[31/41] ZLU5 affected=2618 deleted=0
[32/41] ZLV1 affected=2198 deleted=0
[33/41] ZLV2 affected=2310 deleted=0
[34/41] ZLV3 affected=1890 deleted=0
[35/41] ZLV4 affected=2440 deleted=0
[36/41] ZLV5 affected=2807 deleted=0
[37/41] ZLZ1 affected=10120 deleted=0
[38/41] ZLZ2 affected=10183 deleted=0
[39/41] ZLZ3 affected=10260 deleted=0
[40/41] ZLZ4 affected=10802 deleted=0
[41/41] ZLZ5 affected=10204 deleted=0
Done. table=futures_contract_3m_candles symbols=41 affected=255613 deleted=0
===== BUILD ZL 3m DONE 2026-05-04T20:10:55.4509743-05:00 =====
===== BUILD ZL TIMEFRAMES START 2026-05-04T20:10:55.4519764-05:00 =====
Building futures_contract_5m_candles from futures_contract_1m_candles: timeframe=5m minutes=5 symbols=41 root=ZL symbol=ALL start=BEGINNING end=OPEN rebuild=false
[1/41] 5m ZLF2 affected=1996 deleted=0
[2/41] 5m ZLF3 affected=1741 deleted=0
[3/41] 5m ZLF4 affected=1525 deleted=0
[4/41] 5m ZLF5 affected=1812 deleted=0
[5/41] 5m ZLF6 affected=1852 deleted=0
[6/41] 5m ZLH2 affected=5928 deleted=0
[7/41] 5m ZLH3 affected=5862 deleted=0
[8/41] 5m ZLH4 affected=6328 deleted=0
[9/41] 5m ZLH5 affected=6117 deleted=0
[10/41] 5m ZLH6 affected=5978 deleted=0
[11/41] 5m ZLK1 affected=770 deleted=0
[12/41] 5m ZLK2 affected=6509 deleted=0
[13/41] 5m ZLK3 affected=6177 deleted=0
[14/41] 5m ZLK4 affected=6333 deleted=0
[15/41] 5m ZLK5 affected=6201 deleted=0
[16/41] 5m ZLK6 affected=5849 deleted=0
[17/41] 5m ZLN1 affected=6455 deleted=0
[18/41] 5m ZLN2 affected=6322 deleted=0
[19/41] 5m ZLN3 affected=6629 deleted=0
[20/41] 5m ZLN4 affected=6265 deleted=0
[21/41] 5m ZLN5 affected=6255 deleted=0
[22/41] 5m ZLQ1 affected=1903 deleted=0
[23/41] 5m ZLQ2 affected=1646 deleted=0
[24/41] 5m ZLQ3 affected=1852 deleted=0
[25/41] 5m ZLQ4 affected=2183 deleted=0
[26/41] 5m ZLQ5 affected=2168 deleted=0
[27/41] 5m ZLU1 affected=1765 deleted=0
[28/41] 5m ZLU2 affected=2050 deleted=0
[29/41] 5m ZLU3 affected=1911 deleted=0
[30/41] 5m ZLU4 affected=1932 deleted=0
[31/41] 5m ZLU5 affected=1790 deleted=0
[32/41] 5m ZLV1 affected=1565 deleted=0
[33/41] 5m ZLV2 affected=1616 deleted=0
[34/41] 5m ZLV3 affected=1328 deleted=0
[35/41] 5m ZLV4 affected=1673 deleted=0
[36/41] 5m ZLV5 affected=1920 deleted=0
[37/41] 5m ZLZ1 affected=6291 deleted=0
[38/41] 5m ZLZ2 affected=6362 deleted=0
[39/41] 5m ZLZ3 affected=6385 deleted=0
[40/41] 5m ZLZ4 affected=6653 deleted=0
[41/41] 5m ZLZ5 affected=6327 deleted=0
Done. table=futures_contract_5m_candles timeframe=5m symbols=41 affected=162224 deleted=0
Building futures_contract_15m_candles from futures_contract_1m_candles: timeframe=15m minutes=15 symbols=41 root=ZL symbol=ALL start=BEGINNING end=OPEN rebuild=false
[1/41] 15m ZLF2 affected=794 deleted=0
[2/41] 15m ZLF3 affected=670 deleted=0
[3/41] 15m ZLF4 affected=608 deleted=0
[4/41] 15m ZLF5 affected=717 deleted=0
[5/41] 15m ZLF6 affected=715 deleted=0
[6/41] 15m ZLH2 affected=2121 deleted=0
[7/41] 15m ZLH3 affected=2090 deleted=0
[8/41] 15m ZLH4 affected=2249 deleted=0
[9/41] 15m ZLH5 affected=2182 deleted=0
[10/41] 15m ZLH6 affected=2119 deleted=0
[11/41] 15m ZLK1 affected=372 deleted=0
[12/41] 15m ZLK2 affected=2350 deleted=0
[13/41] 15m ZLK3 affected=2203 deleted=0
[14/41] 15m ZLK4 affected=2223 deleted=0
[15/41] 15m ZLK5 affected=2227 deleted=0
[16/41] 15m ZLK6 affected=1988 deleted=0
[17/41] 15m ZLN1 affected=2271 deleted=0
[18/41] 15m ZLN2 affected=2232 deleted=0
[19/41] 15m ZLN3 affected=2336 deleted=0
[20/41] 15m ZLN4 affected=2180 deleted=0
[21/41] 15m ZLN5 affected=2208 deleted=0
[22/41] 15m ZLQ1 affected=807 deleted=0
[23/41] 15m ZLQ2 affected=707 deleted=0
[24/41] 15m ZLQ3 affected=761 deleted=0
[25/41] 15m ZLQ4 affected=868 deleted=0
[26/41] 15m ZLQ5 affected=889 deleted=0
[27/41] 15m ZLU1 affected=767 deleted=0
[28/41] 15m ZLU2 affected=871 deleted=0
[29/41] 15m ZLU3 affected=814 deleted=0
[30/41] 15m ZLU4 affected=784 deleted=0
[31/41] 15m ZLU5 affected=708 deleted=0
[32/41] 15m ZLV1 affected=718 deleted=0
[33/41] 15m ZLV2 affected=714 deleted=0
[34/41] 15m ZLV3 affected=634 deleted=0
[35/41] 15m ZLV4 affected=685 deleted=0
[36/41] 15m ZLV5 affected=788 deleted=0
[37/41] 15m ZLZ1 affected=2223 deleted=0
[38/41] 15m ZLZ2 affected=2263 deleted=0
[39/41] 15m ZLZ3 affected=2263 deleted=0
[40/41] 15m ZLZ4 affected=2321 deleted=0
[41/41] 15m ZLZ5 affected=2229 deleted=0
Done. table=futures_contract_15m_candles timeframe=15m symbols=41 affected=59669 deleted=0
Building futures_contract_30m_candles from futures_contract_1m_candles: timeframe=30m minutes=30 symbols=41 root=ZL symbol=ALL start=BEGINNING end=OPEN rebuild=false
[1/41] 30m ZLF2 affected=445 deleted=0
[2/41] 30m ZLF3 affected=363 deleted=0
[3/41] 30m ZLF4 affected=333 deleted=0
[4/41] 30m ZLF5 affected=400 deleted=0
[5/41] 30m ZLF6 affected=382 deleted=0
[6/41] 30m ZLH2 affected=1115 deleted=0
[7/41] 30m ZLH3 affected=1090 deleted=0
[8/41] 30m ZLH4 affected=1168 deleted=0
[9/41] 30m ZLH5 affected=1138 deleted=0
[10/41] 30m ZLH6 affected=1106 deleted=0
[11/41] 30m ZLK1 affected=226 deleted=0
[12/41] 30m ZLK2 affected=1233 deleted=0
[13/41] 30m ZLK3 affected=1143 deleted=0
[14/41] 30m ZLK4 affected=1144 deleted=0
[15/41] 30m ZLK5 affected=1171 deleted=0
[16/41] 30m ZLK6 affected=1008 deleted=0
[17/41] 30m ZLN1 affected=1178 deleted=0
[18/41] 30m ZLN2 affected=1156 deleted=0
[19/41] 30m ZLN3 affected=1214 deleted=0
[20/41] 30m ZLN4 affected=1130 deleted=0
